id,name_en,name_ja,name_kana,category,prefecture,address,Lien google map,city,score
1171434,Shiwaguchi Station,志和口,,station,Hiroshima,"Ichikawa Shirakicho, Asakita Ward, Hiroshima, 739-1411, Japan",https://www.google.com/maps/place/?q=place_id:ChIJh4S0WkN8UDURrhCNHd4MXgA,Hiroshima,10
1171435,Kami-Mita Station,上三田,,station,Hiroshima,"Mita Shirakicho, Asakita Ward, Hiroshima, 739-1521, Japan",https://www.google.com/maps/place/?q=place_id:ChIJCXY6Agp8UDURzM8WzFuXJXI,Hiroshima,10
1171436,Nakamita Station,中三田,,station,Hiroshima,"Mita Shirakicho, Asakita Ward, Hiroshima, 739-1521, Japan",https://www.google.com/maps/place/?q=place_id:ChIJSy778KF5UDUR8w9u2T58AKw,Hiroshima,10
1171437,Shirakiyama Station,白木山,,station,Hiroshima,"Mita Shirakicho, Asakita Ward, Hiroshima, 739-1521, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ-xL-9jJ4UDUR6wDlc2SxycY,Hiroshima,10
1171438,Karuga Station,狩留家,,station,Hiroshima,"Karugacho, Asakita Ward, Hiroshima, 739-1753, Japan",https://www.google.com/maps/place/?q=place_id:ChIJ2wEVoY93UDURS5esa-rJqI4,Hiroshima,10
1171439,Kami-Fukawa Station,上深川,,station,Hiroshima,"Kamifukawacho, Asakita Ward, Hiroshima, 739-1752, Japan",https://www.google.com/maps/place/?q=place_id:ChIJw4oU4sR3UDUR0FnnMjwEv6Q,Hiroshima,10
1171440,Naka-Fukawa Station,中深川,,station,Hiroshima,"5 Chome-24 Fukawa, Asakita Ward, Hiroshima, 739-1751, Japan",https://www.google.com/maps/place/?q=place_id:ChIJtSwlf3SdWjURSIYTNtpuWWo,Hiroshima,10
1171441,Shimo-Fukawa Station,下深川,,station,Hiroshima,"1 Chome-10 Fukawa, Asakita Ward, Hiroshima, 739-1751, Japan",https://www.google.com/maps/place/?q=place_id:ChIJmWA1Pw6dWjURQlMbGPp2OOk,Hiroshima,10
1171442,Kumura Station,玖村,,station,Hiroshima,"2 Chome-12 Ochiai, Asakita Ward, Hiroshima, 739-1731, Japan",https://www.google.com/maps/place/?q=place_id:ChIJPehTlFOcWjURqXfnvD9n2NU,Hiroshima,10
1171443,Aki-Yaguchi Station,安芸矢口,,station,Hiroshima,"1 Chome-13 Kuchita, Asakita Ward, Hiroshima, 739-1734, Japan",https://www.google.com/maps/place/?q=place_id:ChIJKb2isCOcWjURdb1GDk8XLvg,Hiroshima,10
1171444,Hesaka Station,戸坂,,station,Hiroshima,"1 Chome Hesakasoda, Higashi Ward, Hiroshima, 732-0001, Japan",https://www.google.com/maps/place/?q=place_id:ChIJESxSM8CeWjURIwii5hPvTRU,Hiroshima,10
1171445,Yaga Station,矢賀,,station,Hiroshima,"5 Chome-1 Yaga, Higashi Ward, Hiroshima, 732-0042, Japan",https://www.google.com/maps/place/?q=place_id:ChIJa9uRfmyfWjURRZLuwoTr82o,Hiroshima,10
